Strategy,Trade Date,Buy Price,Sell Date,Sell Price,Return (%)
ML Predicted Breakouts,2024-05-03,182.71885681152344,2024-05-13,185.86013793945312,1.7191882560703378
ML Predicted Breakouts,2024-06-11,206.68310546875,2024-06-21,207.02235412597656,0.16413951999470808
ML Predicted Breakouts,2024-06-12,212.58978271484375,,,
ML Predicted Breakouts,2024-06-21,207.02235412597656,2024-07-01,216.261474609375,4.462861280080062
